,Summary,Text,text_content,embedding
0,where does one  start...and stop... with a treat like this,Wanted to save some to bring to my Chicago family but my North Carolina family ate all 4 boxes before I could pack. These are excellent...could serve to anyone,Summary: where does one  start...and stop... with a treat like this; Text: Wanted to save some to bring to my Chicago family but my North Carolina family ate all 4 boxes before I could pack. These are excellent...could serve to anyone,"[-0.006017269100993872, -0.002494294662028551, 0.01862446591258049, -0.06510738283395767, 0.025991162285208702, -0.03329603001475334, -0.10898544639348984, -0.013466819189488888, 0.025447392836213112, 0.01032977644354105, 0.09443686902523041, -0.3221757709980011, 0.0048403083346784115, 0.028221627697348595, -0.03260301426053047, 0.023254532366991043, -0.023563619703054428, -0.01106039248406887, 0.007928892970085144, -0.026435179635882378, 0.05925191566348076, -0.052272602915763855, -0.028724707663059235, 0.005733170546591282, 0.04383549839258194, -0.05568576231598854, 0.023017238825559616, 0.0037639590445905924, -0.06169584393501282, -0.06107440963387489, -0.040903665125370026, -0.05596169829368591, 0.004211127292364836, -0.05909893661737442, 0.010089240036904812, -0.011231188662350178, -0.04500562325119972, -0.060681648552417755, -0.02125735767185688, 0.008386475965380669, 0.046100225299596786, 0.026303794234991074, 0.012574443593621254, -0.026717448607087135, -0.018199708312749863, -0.05817345157265663, 0.044432274997234344, 0.07336294651031494, 0.003101441776379943, -0.0025130135472863913, 0.02007538266479969, 0.03784247487783432, 0.044035229831933975, 0.05496326461434364, -0.0010697761317715049, -0.13093742728233337, 0.04978649318218231, 0.03957550972700119, -0.03047218732535839, 0.013415666297078133, 0.007157853338867426, -0.016704775393009186, -0.0443362258374691, 0.01714710146188736, -0.028825385496020317, -0.060235265642404556, -0.01821289397776127, 0.020991960540413857, -0.05410432815551758, 0.06020466983318329, -0.0027857483364641666, 0.029118608683347702, 0.019790397956967354, -0.0763145163655281, -0.01593528315424919, -0.04415767639875412, 0.01723235473036766, -0.01803816668689251, 0.012267135083675385, -0.04212139919400215, 0.0468243733048439, -0.02859264239668846, 0.011092931032180786, 0.043163519352674484, 0.017934627830982208, -0.023164821788668633, -0.027652474120259285, -0.03338977321982384, 0.024766812101006508, -0.07822433114051819, 0.023632610216736794, 0.01865573413670063, 0.04926133528351784, 0.06669583916664124, -0.025103744119405746, 0.044930800795555115, -0.007393488194793463, 0.08248114585876465, -0.012295348569750786, 0.03127220645546913, 0.0155903659760952, 0.011474788188934326, -0.021608270704746246, -0.030665257945656776, -0.08668740093708038, 0.017458641901612282, 0.04888341203331947, -0.01832045614719391, 0.03395741432905197, 0.009914842434227467, -0.04413604363799095, 0.00963059812784195, 0.015633350238204002, -0.059455472975969315, 0.008264976553618908, -0.006575162522494793, -0.004547459073364735, 0.02449643798172474, 0.026828961446881294, 0.018413910642266273, 0.05937725305557251, 0.035296451300382614, 0.01567855477333069, -0.03201922029256821, -0.08108498901128769, 0.03344324231147766, 0.04667285084724426, -0.020976172760128975, -0.021455636247992516, 0.03220143914222717, 0.004579242318868637, 0.025473859161138535, 0.0008249754901044071, 0.02534628100693226, -0.002790785161778331, 0.02003667689859867, -0.022440925240516663, 0.0005931896157562733, 0.016300346702337265, -0.08412771672010422, -0.0327841080725193, -0.09749793261289597, -0.04011636972427368, -0.07309959828853607, 0.013015556149184704, 0.0031174621544778347, -0.020482102409005165, -0.0035392455756664276, 0.012357356026768684, 0.016189711168408394, 0.03750544413924217, -0.08352463692426682, 0.025885555893182755, -0.00901015754789114, 0.009034489281475544, 0.05340002104640007, 0.011977307498455048, -0.04962253198027611, -0.08527383208274841, -0.00979624968022108, 0.004410143010318279, 0.031248565763235092, 0.030527038499712944, 0.09152272343635559, -0.035767365247011185, -0.04819967597723007, 0.041393574327230453, 0.034280575811862946, -0.018389662727713585, -0.05214929208159447, 0.013881880789995193, -0.04189753904938698, -0.021729689091444016, -0.03888446465134621, -0.014442414976656437, -0.05139732360839844, -0.030100511386990547, -0.002855251543223858, -0.029567742720246315, -0.055445123463869095, 0.016116350889205933, -0.005896113812923431, 0.02379485033452511, 0.0006341818370856345, 0.09811846911907196, 0.020204858854413033, 0.02823556214570999, -0.014046097174286842, 0.02045847475528717, 0.0010361627209931612, 0.07118868827819824, -0.005831430200487375, 0.06641603261232376, -0.060289595276117325, -0.008703743107616901, 0.04255356267094612, 0.016580838710069656, 0.04989219456911087, 0.009246512316167355, -0.02495458908379078, -0.04083216190338135, -0.009849089197814465, 0.08305198699235916, 0.029878076165914536, -0.05864142253994942, -0.0073969727382063866, -0.04393473640084267, -0.004197369329631329, -0.00560258561745286, 0.011827981099486351, 0.04258488491177559, 0.008239345625042915, -0.03881492465734482, -0.008147710002958775, -0.046802058815956116, -0.030936572700738907, -0.02217458188533783, 0.014291518367826939, -0.020653320476412773, -0.0025029610842466354, -0.019576482474803925, 0.020415542647242546, 0.03300635889172554, -0.025547688826918602, 0.02641298435628414, 0.0003456241684034467, 0.024143826216459274, -0.04821750149130821, -0.022448116913437843, 0.003931345883756876, 0.032594114542007446, 0.010397757403552532, -0.02415403351187706, -0.013756212778389454, -0.01773020066320896, -0.03545456379652023, -0.022932151332497597, -0.01838710531592369, 0.01284804567694664, -0.015990251675248146, 0.03505006060004234, 0.11998437345027924, 0.03737441077828407, 0.009919782169163227, -0.030212750658392906, -0.03876320645213127, -0.013201608322560787, -0.03238866105675697, 0.07738593965768814, -0.005264262203127146, -0.0038771929685026407, -0.03288707882165909, -0.02921283431351185, -0.017144769430160522, -0.011312414892017841, 0.06055576354265213, -0.054836757481098175, -0.0585392490029335, -0.034552495926618576, 0.016721883788704872, -0.07029696553945541, 0.00785787496715784, -0.016978170722723007, -0.0021158468443900347, 0.06945709139108658, -0.050364211201667786, -0.03441832587122917, 0.004496115259826183, -0.06102365627884865, 0.03719893470406532, -0.03288906812667847, 0.020777981728315353, -0.04071096330881119, -0.006444170605391264, -0.029434988275170326, 0.024023575708270073, 0.002579264808446169, 0.036924250423908234, -0.005365751683712006, 0.015433959662914276, -0.04546666890382767, -0.018205726519227028, 0.0420994907617569, 0.03571002930402756, -0.05400262027978897, -0.02147548831999302, -0.08882249146699905, -0.021549217402935028, -0.010633958503603935, -0.0417010672390461, -0.008989177644252777, 0.08288401365280151, -0.005391500424593687, 0.07307504117488861, -0.025861354544758797, -0.012848869897425175, 0.004175259731709957, 0.02441360615193844, -0.022078625857830048, -0.001257078954949975, -0.0243378859013319, 0.02367263473570347, -0.01718003675341606, 0.0313422717154026, 0.0020375552121549845, -0.004387708380818367, 0.03953830152750015, -0.021404849365353584, -0.019600311294198036, 0.08534417301416397, -0.11289612203836441, -0.00028102623764425516, 0.025054307654500008, 0.024014955386519432, -0.04066511616110802, -0.009601599536836147, 0.024269673973321915, -0.001652386854402721, -0.05534682050347328, -0.06842444092035294, -0.05144190788269043, 0.06997654587030411, -0.06515156477689743, -0.014106488786637783, -0.015017842873930931, 0.024414800107479095, 0.011211537756025791, -0.058281153440475464, 0.001900466624647379, -0.028757022693753242, -0.0895087718963623, -0.03857200965285301, 0.01991906203329563, -0.027628445997834206, 0.003386744298040867, 0.011003242805600166, -0.014529568143188953, -0.05301814153790474, 0.07653725892305374, 0.022739501670002937, -0.0031171520240604877, 0.02074880339205265, 0.043765272945165634, 0.060889970511198044, 0.02149847149848938, 0.019398510456085205, 0.05227150768041611, 0.04763807728886604, -0.06403636187314987, -0.005459684878587723, -0.04426921159029007, -0.036195456981658936, -0.016962647438049316, -0.040978845208883286, -0.022676726803183556, -0.00726303132250905, 0.044325683265924454, 0.06960058957338333, -0.056744690984487534, 0.0007223106804303825, -0.035869184881448746, -0.017774485051631927, 0.01952270418405533, 0.05328649282455444, -0.019130894914269447, -0.009204206056892872, 0.007325384300202131, 0.026065392419695854, -0.010235650464892387, 0.05421746149659157, -0.007195517420768738, 0.018908735364675522, 0.031430162489414215, 0.031806934624910355, 0.05165526270866394, -0.02721657231450081, -0.05292562022805214, -0.03365958854556084, -0.006364000961184502, 0.06949719786643982, -0.058083705604076385, 0.049790218472480774, 0.02239985018968582, 0.0005151270306669176, 0.1280556172132492, -0.02049405872821808, 0.0020257842261344194, 0.03422897309064865, 0.05474771186709404, 0.07521306723356247, 0.05585351213812828, -0.0715193971991539, -0.016169162467122078, 2.431804568914231e-05, -0.01960972510278225, -0.07396303117275238, 0.05038449540734291, -0.03663494810461998, -0.017196733504533768, -0.07501112669706345, -0.020747561007738113, 0.06427914649248123, -0.05491800233721733, 0.038543205708265305, 0.04722379148006439, 0.02582736872136593, -0.029552344232797623, -0.026058904826641083, 0.014592427760362625, 0.023338953033089638, 0.2802051305770874, -0.01965702883899212, -0.03621482476592064, 0.01962623931467533, -0.02150908298790455, 0.018877539783716202, -0.07099797576665878, 0.002651768969371915, 0.006428988184779882, 0.08047527819871902, 0.06061943992972374, -0.0321827232837677, -0.030377285555005074, -0.04612027108669281, -0.009041158482432365, -0.03174148127436638, 0.009039241820573807, -0.018284043297171593, -0.10232260823249817, 0.09041965007781982, 0.0361933708190918, 0.028853949159383774, 0.008924060501158237, 0.016229864209890366, 0.0379815474152565, -0.0008298424654640257, -0.01428509782999754, 0.04454481601715088, -0.012594658881425858, -0.018620742484927177, 0.0009173736325465143, -0.01312226988375187, 0.06426812708377838, 0.07292193174362183, -0.018512366339564323, 0.02270488813519478, 0.006138795055449009, -0.06839049607515335, 0.04473751410841942, 0.018767409026622772, 0.03251571208238602, 0.047699928283691406, -0.04448530822992325, -0.008948794566094875, 0.0030321055091917515, 0.02262009121477604, -0.03816960006952286, -0.015882259234786034, -0.005445335991680622, -0.08584817498922348, -0.02529098279774189, -0.113531693816185, -0.02170158177614212, -0.026553882285952568, -0.08235615491867065, 0.012166772037744522, -0.004511634353548288, 0.043031949549913406, -0.00952185783535242, 0.00494533171877265, -0.0423809215426445, -0.08250336349010468, 0.07373450696468353, 0.017876580357551575, -0.03627026453614235, 0.08191269636154175, -0.010233654640614986, 0.07299961894750595, -0.047335609793663025, -0.01254237163811922, 0.012295529246330261, 0.015028435736894608, -0.007981237955391407, -0.005783972330391407, -0.02397952415049076, 0.05113130807876587, 0.026146821677684784, 0.014704211615025997, -0.018405741080641747, -0.052838072180747986, 0.03635868430137634, 0.03876766189932823, -0.03170111030340195, -0.01590721309185028, -0.02068284898996353, -0.07013706862926483, 0.020296595990657806, 0.005662745330482721, -0.009265989065170288, -0.014581962488591671, -0.030028101056814194, -0.010632487013936043, -0.001579555100761354, 0.026870956644415855, -0.025325294584035873, -0.020854024216532707, 0.0538182333111763, -0.02313326857984066, -0.018522169440984726, 0.032616276293992996, -0.030067985877394676, -0.016245966777205467]"
1,Arrived in pieces,"Not pleased at all. When I opened the box, most of the rings were broken in pieces. A total waste of money.","Summary: Arrived in pieces; Text: Not pleased at all. When I opened the box, most of the rings were broken in pieces. A total waste of money.","[0.021687572821974754, -0.0014017079956829548, 0.031223958358168602, -0.06730225682258606, 0.020846720784902573, -0.06466923654079437, -0.04305953159928322, 0.0007270334172062576, 0.034624721854925156, -0.030090993270277977, 0.10624715685844421, -0.34183064103126526, -0.023346437141299248, 0.041762709617614746, -0.0020349386613816023, -0.003497431520372629, -0.05330859497189522, 0.031171122565865517, -0.024233881384134293, -0.028395654633641243, 0.06276001781225204, -0.024882277473807335, -0.0696655660867691, -0.0013938875636085868, 0.033018868416547775, -0.04375939816236496, -0.018541304394602776, -0.01113339513540268, -0.027008535340428352, -0.07494327425956726, -0.027938218787312508, -0.010485360398888588, -0.025979217141866684, -0.04068261757493019, -0.029281433671712875, -0.004273155704140663, 0.025220829993486404, -0.06604556739330292, -0.043487053364515305, 0.03456355631351471, -0.012299337424337864, 0.037446632981300354, -0.015069544315338135, 9.905617480399087e-05, -0.030748620629310608, -0.039274755865335464, 0.01673612743616104, 0.06087196618318558, 0.012572233565151691, 0.0031737738754600286, -0.014787106774747372, 0.06340644508600235, 0.06094299629330635, 0.005579613149166107, 0.06318647414445877, -0.07651428878307343, 0.022373709827661514, 0.036693986505270004, 0.0027074606623500586, 0.008036976680159569, 0.013396063819527626, -0.008811513893306255, -0.019751638174057007, -0.0035864238161593676, -0.04738661274313927, -0.0552983395755291, 0.01693897694349289, 0.04421355575323105, -0.05134985223412514, 0.059422049671411514, -0.040451161563396454, 0.023578166961669922, 0.008774986490607262, 0.0030848777387291193, 0.01653997041285038, -0.04022759199142456, -0.06832613050937653, -0.01371246948838234, 0.016328074038028717, -0.009465583600103855, -0.001836294773966074, 0.00926657859236002, 0.008184668608009815, 0.02976715750992298, -0.03125394135713577, -0.019778992980718613, 0.0069390288554131985, -0.02687842771410942, 0.017613878473639488, -0.059721313416957855, -0.0020208319183439016, -0.026523428037762642, 0.0020882240496575832, 0.06318728625774384, -0.048661939799785614, 0.05638300999999046, -0.01751057431101799, 0.10154227167367935, -0.04215063154697418, 0.049376778304576874, -0.014553927816450596, 0.02788366563618183, -0.023541990667581558, 0.005644430872052908, -0.06905349344015121, 0.031013568863272667, 0.014995574951171875, -0.017703836783766747, 0.05056154727935791, 0.024982649832963943, 0.02184726670384407, -0.04105570912361145, 0.04252498224377632, -0.005297230556607246, 0.030427146703004837, -0.0395326241850853, 0.0370650514960289, 0.022033704444766045, 0.021768921986222267, -0.009709354490041733, 0.01766551472246647, 0.032579101622104645, 0.009291998110711575, 0.008412016555666924, -0.03156143054366112, -0.01873191073536873, 0.0274663046002388, -0.026323676109313965, -0.0237432811409235, 0.0009617524337954819, 0.03709695115685463, -0.005461996886879206, -0.03493684530258179, 0.007913695648312569, 0.04326101765036583, -0.003131213830783963, -0.004374696873128414, 0.04354557767510414, -0.03162634000182152, -0.03670106455683708, -0.03445303812623024, -0.048039231449365616, -0.014856613241136074, -0.040942344814538956, 0.002639000304043293, 0.02605804242193699, -0.007482101209461689, 0.007842332124710083, 0.02614678628742695, 0.011796718463301659, 0.036974236369132996, -0.05986739695072174, 0.010817776434123516, -0.019660327583551407, -0.04122148081660271, 0.10009059309959412, 0.03539036959409714, -0.019231025129556656, -0.040634747594594955, -0.04637748375535011, 0.003978215157985687, -0.023457949981093407, -0.028462592512369156, 0.08848188072443008, -0.04478739574551582, -0.0113946832716465, 0.008542751893401146, 0.008391857147216797, -0.024880914017558098, -0.007673389744013548, 0.050759222358465195, -0.020113982260227203, 0.02826840430498123, -0.04019398242235184, 0.013627715408802032, 0.007489104755222797, -0.04032720625400543, -0.042057570070028305, -0.05211363732814789, -0.11892124265432358, -0.01010027714073658, -0.04468763247132301, 0.045042917132377625, 0.007203290704637766, 0.07289417833089828, 0.017150014638900757, 0.06158355623483658, -0.03611099720001221, 0.010295520536601543, 0.015953337773680687, 0.07199558615684509, 0.021592874079942703, 0.08779104053974152, -0.02619890123605728, 0.03258082643151283, 0.015188694931566715, 0.016161641106009483, 0.05241424962878227, 0.008463415317237377, 0.00711914012208581, -0.035024650394916534, -0.000856300350278616, 0.08767661452293396, 0.013069642707705498, -0.015529179945588112, 0.030171874910593033, -0.044542305171489716, -0.06327785551548004, 0.008145763538777828, -0.011809926480054855, 0.020247217267751694, -0.00041499186772853136, -0.02887292392551899, 0.04713749885559082, -0.016393467783927917, -0.020708424970507622, -0.02990962564945221, -0.03453400731086731, -0.006054897326976061, 0.006339957006275654, 0.010472617112100124, -0.034172601997852325, 0.04477613791823387, -0.04950414225459099, 0.05990790203213692, 0.030680444091558456, -0.02957211434841156, -0.07359114289283752, 0.0024713955353945494, -0.015811201184988022, 0.035552721470594406, -0.018529048189520836, -0.0005454570055007935, 0.014279158785939217, 0.04074528440833092, -0.011154538951814175, -0.03133650869131088, -0.057500265538692474, -0.010481446981430054, -0.008578132838010788, 0.016835857182741165, 0.13493777811527252, 0.03879496082663536, -0.05412033572793007, -0.015024621039628983, -0.02246875874698162, -0.007988677360117435, -0.008851521648466587, 0.04837823659181595, 0.021784476935863495, -0.024771030992269516, -0.05738437920808792, -0.014422097243368626, 0.046792224049568176, 0.005765735171735287, 0.047582414001226425, -0.0403175875544548, -0.0029109588358551264, -0.005328865721821785, 0.0041391560807824135, -0.055139027535915375, -0.012796060182154179, -0.060684457421302795, -0.031349681317806244, 0.06715601682662964, -0.009792025201022625, -0.05697884410619736, -0.03294408321380615, -0.06023488938808441, -0.006577075459063053, 0.047092337161302567, -0.0020579358097165823, 0.005606977269053459, 0.023681888356804848, -0.05339517816901207, 0.03610117733478546, -0.022288164123892784, 0.013526532799005508, 0.06011379510164261, 0.011195927858352661, -0.039356835186481476, -0.013004434294998646, 0.008253080770373344, -0.001203249441459775, -0.008238512091338634, -0.03814604878425598, -0.06063719466328621, 0.03302393853664398, -0.023474372923374176, 0.015089607797563076, -0.03681720048189163, 0.056566979736089706, 0.0211762934923172, 0.0565374381840229, -0.07448127120733261, 0.001326089259237051, -0.03961644694209099, 0.014605753123760223, -0.06541303545236588, 0.00861808005720377, -0.011985737830400467, 0.006585083901882172, -0.06052776426076889, 0.023447036743164062, -0.012308030389249325, 0.0031390998046845198, 0.0796368345618248, -0.042698659002780914, -0.007278278935700655, 0.10349230468273163, -0.08586853742599487, 0.011304126121103764, -0.001811549300327897, 7.69088146626018e-05, -0.022615229710936546, -0.0055905841290950775, 0.035376593470573425, 0.011802992783486843, -0.061542313545942307, -0.06568724662065506, -0.08853603899478912, 0.09785161167383194, -0.08851217478513718, 0.03466362506151199, -0.040601927787065506, 0.004304055590182543, 0.013604734092950821, -0.05549171194434166, 0.016904927790164948, -0.018302861601114273, -0.04518653824925423, -0.05898455157876015, -0.007991069927811623, -0.06820991635322571, -0.005261875223368406, -0.004700867924839258, -0.019907504320144653, -0.07304210960865021, 0.08486977964639664, 0.029516074806451797, 0.040128182619810104, 0.011757302097976208, 0.0019888090901076794, 0.06482672691345215, 0.011289545334875584, -0.041977401822805405, 0.03935675695538521, -0.0061414516530931, -0.06614995747804642, -0.020520003512501717, -0.010788225568830967, -0.016803819686174393, 0.003673957195132971, -0.09650605916976929, -0.017071299254894257, -0.013083349913358688, 0.05711262673139572, 0.04418538138270378, -0.02532278373837471, 0.0038970073219388723, -0.05824527144432068, 0.029430709779262543, 0.007906981743872166, 0.026270687580108643, -0.0016341276932507753, -0.021271612495183945, 0.018512384966015816, -0.015621050260961056, -0.04350763186812401, 0.0074947793036699295, -0.03655070811510086, 0.05141935124993324, -0.022698204964399338, 0.013834010809659958, 0.001368022058159113, -0.06681402772665024, -0.02826693281531334, -0.044542986899614334, 0.019281400367617607, 0.05503695830702782, -0.05366173014044762, 0.06536740064620972, -0.027261793613433838, 0.016460943967103958, 0.11245511472225189, -0.016684025526046753, -0.04361477121710777, 0.06545639038085938, -0.02528201974928379, 0.08060073107481003, 0.03316621482372284, -0.07169469445943832, -0.0012514612171798944, 0.01241803914308548, -0.020595084875822067, -0.060586877167224884, 0.11614728718996048, -0.01671306975185871, -0.031132638454437256, -0.019973045215010643, -0.017137061804533005, 0.047815244644880295, -0.024154918268322945, 0.047229837626218796, 0.03877169266343117, 0.01655595935881138, -0.03913233429193497, -0.06670401245355606, -0.014487781561911106, -0.021098114550113678, 0.26350656151771545, 0.011802450753748417, -0.01839926838874817, -0.01641874574124813, -0.008186415769159794, -0.022257907316088676, -0.01642909273505211, 0.007472075056284666, -0.01343479473143816, 0.03733663633465767, 0.03688683360815048, -0.04492184519767761, -0.013889564201235771, -0.046874262392520905, -0.05380488187074661, 0.029034920036792755, -0.04674040898680687, -0.017002083361148834, -0.12164771556854248, 0.0974627211689949, 0.017834100872278214, 0.03836705535650253, 0.0045154402032494545, -0.016395414248108864, 0.04813505709171295, -0.017906975001096725, -0.017005562782287598, 0.015951503068208694, -0.01420427393168211, -0.013587215915322304, -0.011365716345608234, 0.0052125053480267525, 0.03524992987513542, 0.005186096765100956, -0.009228446520864964, 0.06032291427254677, -0.056226592510938644, -0.06067218631505966, 0.02627471834421158, 0.04344388470053673, 0.026559626683592796, 0.045769039541482925, 0.0010765090119093657, 0.06263159215450287, 0.018408669158816338, 0.02634996362030506, -0.007646716199815273, -0.023265331983566284, 0.03208259120583534, -0.05199370160698891, -0.0016072841826826334, -0.08493577688932419, 0.02860609069466591, 0.017145661637187004, -0.006323372013866901, 0.011492853984236717, -0.04229436069726944, 0.0009313427144661546, -0.030540095642209053, 0.007874073460698128, 0.014377566985785961, -0.10933982580900192, 0.0922664999961853, 0.01230703666806221, -0.055413395166397095, 0.028504913672804832, 0.014452080242335796, 0.06494129449129105, -0.03498145937919617, -0.032993756234645844, -0.03767910599708557, 0.04011376574635506, -0.046345055103302, -0.02579372376203537, 0.007001669146120548, 0.03435781970620155, 0.015172353945672512, -0.010344856418669224, 0.004744122736155987, -0.06931086629629135, 0.03140893578529358, 0.08308133482933044, -0.08157456666231155, -0.014239094220101833, 0.003352622501552105, -0.05079491809010506, -0.0047784969210624695, 0.023799419403076172, 0.04376658797264099, 0.009980813600122929, -0.020260820165276527, 0.028004752472043037, -0.05333311855792999, 0.014257382601499557, -0.004356234800070524, 0.04021649807691574, 0.004278319422155619, 0.039320994168519974, -0.044299352914094925, 0.057287104427814484, -0.01771733909845352, 0.01985437609255314]"
